Abatement cost	nhiễm)
Mutually exclusive projects	Các dự án loại từ lẫn nhau.
Mutually exclusive	Loại từ lẫn nhau.
Naive accelerator	Gia tốc dạng đơn giản.
Nash solution	Giải pháp Nash.
National accounts	Hệ thống tài khoản quốc gia.
National bargaining	Thương lượng mang tính quốc gia.
Research	gia.
National debt	Nợ quốc gia.
Council (NEDC)	gia.
National Enterprise Board (NEB)	Ban doanh nghiệp quốc gia.
National income	Thu nhập quốc dân.
National income accounting	Hạch toán Thu nhập quốc dân.
National Girobank	Ngân hàng Giro quốc gia.
Social Research	Kinh tế và Xã hội.
Myrdal, Gunnar K.	(1898-1987)
National Insurance Contributions	quốc gia.
National Insurance Fund	Quỹ bảo hiểm quốc gia.
National Labor Relation Act	gia.
Nationalized industry	Ngành bị quốc hữu hoá.
National product	Sản phẩm quốc dân.
Corporation	quốc gia.
National Saving Bank	Ngân hàng tiết kiệm quốc gia.
Natural law	Quy luật tự nhiên.
Natural logarithm	Lôgarit tự nhiên.
Natural price	Giá tự nhiên.
Natural rate of growth	Tỉ lệ tăng trưởng tự nhiên.
Natural rate of unemployment	Tỷ lệ thất nghiệp tự nhiên.
Natural resources	Tài nguyên thiên nhiên.
Natural selection hypothesis	nhiên.
Near money	Tiền cận; Chuẩn tệ.
Necessity	Hàng thiết yếu.
NEDC	Uỷ ban phát triển kinh tế quốc gia.
NEDO	gia.
Need	Nhu cầu.
Negative income tax	Thuế thu nhập âm.
Neighborhood effects	Những hiệu ứng đến xung quanh.
Neo-classical economics	Kinh tế học tân cổ điển.
Neo-classical growth theory	điển.
Neo-classical synthesis	Hợp đề tân cổ điển.
Neo-imperialism	Chủ nghĩa đế quốc kiểu mới.
Neo-orthodoxy	Trường phái tân chính thống.
Nested hypotheses	Các giả thuyết lồng nhau
Nationalized indentities	dân.
Natural monopoly	Độc quyền tự nhiên.
Net barter terms of trade	Tỷ giá trao đổi ròng.
Net book value	Giá trị ròng theo sổ sách.
Net economic welfare	Phúc lợi kinh tế ròng.
Net export	Xuất khẩu ròng.
Net present value	Giá trị hiện tại ròng.
Net investment	vốn ròng) .
Net material product (NMP)	Sản phẩm vật chất ròng.
Net national income	Thu nhập quốc dân ròng
Net national product	Sản phẩm quốc dân ròng.
Net profit	Lợi nhuận ròng.
Net property income from abroad	ngoài.
Neutrality of money	Tính chất trung lập của tiền.
Neutralizing monetary flows	Trung hoà các luồng tiền tệ.
"New classical macroeconomics"	"Kinh tế học vĩ mô cổ điển mới"
New Economic Policy (NEP)	Chính sách kinh tế.
New industrial state	Tình trạng công nghiệp mới.
New inflation	Lạm phát kiểu mới
New issues market	phát hành.
New microeconomics	Kinh tế học vi mô mới.
New-new microeconomics	Kinh tế học vi mô mới-mới.
New-orthodoxy	Trường phái chính thống mới.
New quantity theory of money	tệ .
New international economic order	Trật tự kinh tế quốc tế mới.
New protectionism	Chủ nghĩa bảo hộ mới.
(NICs)	Các nước mới công nghiệp hoá.
New view of investment	Quan niệm mới về đầu tư.
"New view" on money supply	"Quan điểm mới" về cung tiền.
New York Stock Exchange	York
Nominal	Danh nghĩa.
Nominal balances	Số dư tiền mặt danh nghĩa
Nominal value	Giá trị danh nghĩa.
Nominal yield	Lợi tức danh nghĩa.
unemployment	lạm phát.
Nominal and real interest rates	thực tế.
Nominal and exchange rate	tế .
Nominal variables	Các biến số danh nghĩa.
Non-market	Phi thị trường.
Non-competing groups	Các nhóm không cạnh tranh.
Non-excludability	không thể ngăn cản.
Non-labor income	Thu nhập phi lao động.
Non-linear	Phi tuyến.
Non-linear function	Hàm phi tuyến.
Non-manual workers	trí óc.
Non-nested hypotheses	Các giả thiết không bị lồng nhau.
Non-pecuniary goals	Những mục tiêu phi tiền tệ.
Non-price competition	Cạnh tranh phi giá cả.
Non-profit institutions	Các tổ chức phi lợi nhuận
Non-renewable resource	Tài nguyên không tái tạo được.
Non-rival consumption	tiêu dùng không bị cạnh tranh.
Non-tariff barriers	Các hàng rào phi thuế quan.
Non-uniqueness	Tính phi độc nhất.
Non-wage attributes	Các thuộc tính phi tiền lương.
Non-wage labour costs	lương.
Norm	Định mức tăng lương.
Normal cost pricing	thường.
Normal distribution	Phân phối chuẩn.
Normal equations	Các phương trình chuẩn.
Normal good	Hàng hoá thông thường.
Normal profits	thường.
Normal unemployment	Tỷ lệ thất nghiệp thông thường.
Normal variable	Biến thông thường.
Normative costs of production	Các chi phí sản suất chuẩn tắc.
Normative economics	Kinh tế học chuẩn tắc.
Norm following behaviour	Hành vi theo định mức lương.
Notional demand	biện.
Null hypothesis	Giả thiết Không.
Numbers equivalent index	Chỉ số đương lượng.
Numeraire	Đơn vị tính toán.
OAPEC	dầu
Objective function	Hàm mục tiêu.
Occupational licensing	Cấp bằng hành nghề.
Occupational wages differentials	theo nghề nghiệp.
Occupational wages structure	Cơ cấu lương theo nghề nghiệp.
OECD	tế .
OEEC	Tổ chức hợp tác kinh tế Châu Âu.
Offer curve	Đường chào hàng.
Offer for sale	Chào bán.
Office of Fair Trading	Văn phòng thương mại công bằng.
(OMB)	Văn phòng quản lý và ngân sách.
Offshore investment centres	Các trung tâm đầu tư hải ngoại.
Ohlin, Bertil	(1899-1979)
Okun's 'law'	"luật" Okun.
Oligopolistic	Hành vi độc quyền nhóm bán
Oligopoly	(Thị trường) độc quyền nhóm bán
Oligopsony	(Thị trường) độc quyền nhóm mua.
One sector growth model	Mô hình tăng trưởng một khu vực.
One tail tests	Kiểm định một đuôi.
On-the-job training	Đào tạo tại chỗ.
OPEC	mỏ.
Open access resource	Tài nguyên được tự do tiếp cận.
Open economy	Nền kinh tế mở.
Opening prices	Giá mở cửa.
Open market operations	trường tự do.
Open unemployment	Thất nghiệp mở.
Operating gearing	Tỷ phần chi phí nghiệp vụ cố định.
Operating income	Thu nhập kinh doanh.
Operating profit	Lợi nhuận kinh doanh.
Opportunity cost	Chi phí cơ hội.
international trade	hội trong thương mại quốc tế.
Opportunity wage	Mức lương cơ hội.
Optimal	Tối ưu
Optimal capacity	Công suất tối ưu.
Optimal distribution	Sự phân phối tối ưu.
Optimal level of pollution	Mức ô nhiễm Tối ưu.
Optimum	Trạng thái tối ưu.
Optimum of optimorum	Trạng thái tối ưu trong tối ưu.
Optimum plant size	Quy mô nhà máy ở mức tối ưu.
Optimum tariff	Thuế quan tối ưu.
Option	Hợp đồng mua bán trước.
Option value	Giá trị của quyền lựa chọn.
Ordering	Xếp thứ tự.
Ordinalism	Chủ nghĩa thứ tự.
Ordinal utility	Độ thoả dụng theo thứ tự.
Ordinary least square (OLS)	nhất thông thường.
Ordinary share	Cổ phiếu thường.
Ordinate	Tung độ.
Organic composition of capital	Thành phần hữu cơ của vốn.
(OECD)	tế .
Economic Co-operation (OEEC)	Tổ chức hợp tác kinh tế châu Âu.
Exporting Countries	rập xuất khẩu dầu mỏ.
Exporting Countries	khẩu dầu mỏ.
Outlier	Giá trị ngoại lai.
Outcome	Kết cục, kết quả.
Basic Outcome	Kết cục, kết quả cơ sở.
Output	Sản lượng (hay đầu ra).
Output budgeting	(hay đầu ra).
Outside lag	Độ trễ bên ngoài.
Outside money	Tiền bên ngoài.
Outstanding credit	Tín dụng chưa thanh toán.
Overdraff	Chi dôi; Thấu chi.
Overfunding	Vay quá mức.
Overhead costs	Chi phí duy tu
Overidentification	Sự đồng nhất hoá quá mức.
Overnight money	Tiền qua đêm.
Overhead inputs	Nhập lượng gián tiếp.
Overall fit of regression	phương trình hồi quy.
Overpopulation	Dân số quá đông.
Overshooting	Tăng quá cao (tỷ giá hối đoái).
Over the counter market	Thị trường không nơi giao dịch.
Overtime	Làm việc thêm ngoài giờ.
Overvalued currency	Tiền được định giá quá cao.
Owner-controlled firms	kiểm soát.
Passche price index	Chỉ số giá Passche.
Paid-up capital	Vốn đã được huy động
Panel data	Dữ liệu Panel
Paper money	Tiền giấy.
Paper profit	Lợi nhuận trên giấy.
Parabola	Dạng Parabôn.
Paradox of thrift	Nghịch lý của tiết kiệm.
Paradigm	Hệ thuyết; Luận thuyết.
Par value of gold	Giá trị ngang giá của vàng.
Paradox of voting	Nghịch lý về bỏ phiếu.
Paradox of value	Nghịch lý về giá trị.
Parameter	Thông số.
Paretian Liberal, Impossibility of	Tính không thể của tự do Pareto.
Pareto, Vilfredo	(1848 - 1923)
Pareto conditions	Các điều kiện Pareto.
Pareto criterion	Tiêu chuẩn Pareto.
Pareto improvement	Sự cải thiện Pareto.
Pareto non-comparability	Tính không thể so sánh Pareto.
Pareto-optional redistribution	Pareto.
Pareto optimum	Tối ưu Pareto.
allocation	nguồn lực.
Pareto-relevant externality	Ngoại ứng liên quan đến Pareto.
Paris Club	Câu lạc bộ Paris.
Parity price system	Hệ thống giá tương đương.
Par rate of exchange	Tỷ giá hối đoái tương đương.
Partial adjustment	Điều chỉnh từng phần.
Partial derivative	Đạo hàm riêng phần.
Partial equilibrium	Cân bằng bộ phận.
Paricipating preference shares	Cổ phiếu ưu tiên tham gia.
Paricipation rate	Tỷ lệ tham gia.
Partly rational expectations	Những kỳ vọng hợp lý riêng phần.
Par value	Giá trị danh nghĩa, mệnh giá.
Patent rights	Quyền tác giả.
Path independence	Độc lập về đường đi.
Pattern bargaining	Thương lương theo mô hình.
Partnership	Bên tham gia; Hội chung vốn.
Patents	Bằng sáng chế.
Path of government spending	chính phủ.
Patent of trade	Mô thức ngoại thương.
Pauper labour	Lao động bần cùng.
Payback period	Thời kỳ hoàn vốn.
Pay ceiling	tiền lương.
Pay freeze	Cố định tiền lương.
Payment - by - results	Trả theo kết qủa.
Payments, balance of	Cán cân thanh toán.
Pay-off	Lợi ích ròng.
Payout ratio	Tỷ lệ trả cổ tức.
Pay in kind	Trả bằng hiện vật.
Peak-load pricing	Định giá theo tiêu dùng cao điểm.
Peak period labour demand	Cầu lao động ở kỳ giáp hạt.
Pecuniary external economy	Tính kinh tế tiền tệ bên ngoài.
Peg-neo	"cột vào"
Pendulum arbitration	Trọng tài con lắc.
Pension	Tiền lương hưu.
Pension fund	Quỹ hưu.
Per capita	Theo đầu người.
Per capita real GDP	tính theo đầu người.
Percetile	Phân vị.
Perestroika	Đổi mới, cải tổ.
Perfect competition	Cạnh tranh hoàn hảo.
Perfect markets	Các thị trường hoàn hảo.
Permanent comsumption	Mức tiêu dùng thường xuyên.
Permanent income	Thu nhập thường xuyên.
Permanent income hypothesis	Giả thuyết thu nhập thường xuyên.
Perpetuity	Khoản chi trả vĩnh cửu.
Personal income	Thu nhập cá nhân.
Personal loan	Khoản vay cho cá nhân.
Personal rate of substitution	Tỷ lệ thay thế cá nhân.
Personal saving	Tiết kiệm cá nhân.
Perverse migration	Di cư ngược.
PESC	Uỷ ban điều tra chi tiêu công cộng.
Petroleum revenue tax (PRI)	Thuế thu nhập dầu lửa.
Phillips curve	Đường Philips
Physiocrats	nông.
Piece rates	Thu nhập tính theo sản phẩm.
Piecework	Việc làm khoán.
Pigou, Arthur Cecil	(1877-1959)
Pigou effect	Hiệu ứng Pigou
Pigovian tax	Thuế Pigou.
Pivot effect hypothesis	Giả thuyết về hiệu ứng quay.
Placing	Nghiệp vụ bày bán.
Planned economy	Nền kinh tế kế hoạch hoá.
system (PPBS)	chương trình kế hoạch hoá.
Planometrics	Kế hoạch lượng.
Plant bargaining	Sự thương lượng ở một nhà máy.
Plato	(427-347BC)
Plurality	Quy tắc đa số.
Point elasticity of demand	Dự co giãn điểm của cầu.
Point estimation	Ước lượng điểm.
Point of inflexion	Điểm uốn.
Point utility possibility curve	Đường khả năng thoả dụng điểm.
Point voting	Bỏ phiếu theo điểm.
Policy instruments	Các công cụ chính sách.
Policy - off	Thời kỳ không áp dụng chính sách.
Policy coordination	Điều phối chính sách.
Policy targets	Các mục tiêu chính sách.
Political economy	Kinh tế chính trị.
Political business cycle	Chu kỳ kinh tế chính trị.
Poll tax	Thuế thân.
Pooled lending / loan	Cho vay liên hiệp.
Polluter pays principle	phí.
Pollution	Ô nhiễm.
Pollution rights	Các quyền được gây ô nhiễm.
Polynomial	Đa thức; Biểu thức đại số.
Polynomial lag	đại số.
Pooled data	Dữ liệu gộp.
Population	Dân số
Population explosion	Bùng nổ dân số.
Population policy	Chính sách dân số.
Population trap	Bẫy dân số.
Porfolio	Danh mục đầu tư.
Porfolio balance approach	đầu tư.
rate	tỷ giá hối đoái.
Porfolio diversification	Sự đa dạng hoá danh mục đầu tư.
Positional good	Hàng hoá theo vị trí.
Positive economics	Kinh tế học thực chứng.
Positivism	Chủ nghĩa thực chứng.
Post-Keynesian economics	học sau Keynes.
Posterior distribution	Phân phối sau.
Postwar credits	Các tín dụng hậu chiến.
Potential entry	Sự nhập ngành tiềm năng.
Potential national income	Thu nhập quốc dân tiềm năng.
Potential output	Sản lượng tiềm năng.
Potential Pareto improvement	Sự cải thiện Pareto tiềm năng.
Poverty	Sự nghèo khổ.
Poverty trap	Bẫy nghèo khổ.
Power function	Hàm luỹ thừa.
Prais - Winsten	Biến đổi Prais - Winsten.
Prebisch thesis	Luận đề Prebisch
Precautionary motive	Động cơ dự phòng.
Precautionary unemployment	Thất nghiệp phòng ngừa.
Predatory pricing	Định giá để bán phá giá.
Prediction	Dự báo.
Pre-emption rights	Các quyền ưu tiên mua cổ phiếu.
Preference	Sở thích; Sự ưu tiên.
Preference revelation	Sở thích.
Preference shares	Cổ phiếu ưu tiên.
Preferential hiring	Sự thuê người ưu tiên.
Preferred ordinary shares	Cổ phiếu thường được ưu tiên.
Premium	Tiền trả thêm hay phí bảo hiểm.
Premium saving bonds	Trái phiếu tiết kiệm có thưởng.
Present value	Giá trị hiện tại.
Price	Giá
Price Commission	Uỷ ban vật giá.
Price consumption curve	Đường tiêu dùng theo giá.
Price control	Kiểm soát giá.
Price-cost margin	Mức chênh lệch giá-chi phí.
Price discrimination	Phân biệt đối xử theo giá.
Price/earning ratio	Tỷ lệ giá / Lợi tức (tỷ lệ P/E)
Price effect	Hiệu ứng giá.
Price elasticity of demand	Độ co giãn của cầu theo giá.
Price fixing agreement	Thoả thuận cố định giá.
Price index	Chỉ số giá.
Price leadership	Sự dẫn giá.
Price mechanism	Cơ chế giá.
Price-push	Giá đẩy.
Price revolution	Cách mạng giá.
Price setter	Người đặt giá.
Price specie mechanism	Cơ chế chảy vàng.
Price support scheme	Kế hoạch trợ giá.
Price taker	Người chấp nhận giá.
Price theory	Lý thuyết giá.
Price fixing	Sự cố định giá
Price volatility	Biến động giá cả.
Price support	Trợ giá.
High risk premia	Phí thưởng rủi ro cao.
Primary commodities	Hàng sơ chế.
Primary goods	Các hàng hoá cơ bản.
Primary market	Thị trường sơ cấp.
Primary money	Tiền sơ cấp.
Primary of targeting	Nguyên tắc hướng đích.
Primary securities	Chứng khoán sơ cấp.
Primary workers	Các công nhân sơ cấp.
Principal	Tiền gốc.
Principal-agent problem	đề người có vốn và người đại diện.
Prior distribution	Phân phối trước.
Prisoner's dilemma	tiến thoái lưỡng nan của người tù.
Private company	Công ty tư nhân.
Private good	Hàng hoá riêng tư.
Privatization	Tư nhân hoá
Privatization in Eastern Europe	Tư nhân hoá ở Đông Âu.
unemployment	hội của thất nghiệp.
Private sector cash-deposite ratio	của khu vực tư nhân.
Probability	Xác suất
Conditional Probability	Xác suất có điều kiện.
Cumulative Probability	Xác suất tích luỹ.
Probability density function	Hàm mật độ xác xuất.
Probability distribution	Phân phối Xác suất.
Probit model	suất đơn vị).
Process	Quá trình
Process innovation	xuất).
Producer's co-operatives	Các hợp tác xã của nhà sản xuất.
Producer's surplus	Thặng dư của nhà sản xuất.
Product cycle	Chu kỳ sản phẩm.
Product differentiation	Sự khác biệt hoá sản phẩm.
Product innovation	Phát kiến về sản phẩm.
Production	Sản xuất.
Production frontier	Giới hạn sản xuất.
Production externalities	Những ngoại tác sản xuất.
Production function	Hàm sản xuất.
Production incentives	Các khuyến khích sản xuất.
Production Possibility frontier	xuất.
Production Possibility curve	Đường khả năng sản xuất.
sphere	sách.
Production smoothing	làm cho sản xuất được trôi chảy.
Productivity	Năng suất.
Productivity bargaining	Thương lượng theo năng suất.
Product proliferation	Đa dạng hoá sản phẩm.
Product rule	Quy tắc tích số.
Profits	Lợi nhuận.
Profit, falling rate of	Tỷ lệ sút giảm lợi nhuận.
Profit centre	nhuận.
Profit constraint	Ràng buộc về lợi nhuận.
Profit function	Hàm lợi nhuận
Profit margin	Chênh lệch lợi nhuận
Profit maximization	Tối đa hoá lợi nhuận.
Profit motive	Động cơ lợi nhuận
Profit rate	Tỷ lệ lợi nhuận.
Profits-push inflation	Lạm phát do lợi-nhuận-đẩy.
Programme budgeting	Lập ngân sách theo chương trình.
Programming methods	Phương pháp quy hoạch.
Progressive tax	Thuế luỹ tiến.
Project appraisal	Thẩm định dự án.
Property rights	Các quyền sở hữu tài sản.
Proportional tax	Thuế tính theo tỷ lệ.
Propulsive industries	Các ngành động lực.
Prospect theory	Lý thuyết viễn cảnh.
Protection	Bảo hộ.
Proxy	Tính đại diện
Proxy variable	Biến số đại diện.
Pseudo-demand schedule	Biểu cầu-giả.
Public choice	Sự lựa chọn công cộng.
Public company	Công ty công cộng.
Public Expediture	Chi tiêu công cộng.
Public good	Hàng hoá công cộng.
Public issue	Phát hành công cộng.
Requirement (PSBR)	cộng.
(PSDR)	cộng.
Public utility	Ngành dịch vụ công cộng
Public utility regulation	Điều tiết ngành dịch vụ công cộng.
Public ownership	Sở hữu công cộng
Purchasing power parity	Sức mua tương đương.
Purchase tax	Thuế mua hàng.
Purchasing power of money	Sức mua của đồng tiền.
Pure competition	Cạnh tranh thuần tuý.
Pure profit	Lợi nhuận thuần tuý.
Pure inflation	Lạm phát thuần tuý.
Put option	Hợp đồng bán trước.
Putty-clay	- đất sét.
Putty-putty	tít - mát tít.
Pyramiding	hình thành hình chóp.
Quadratic equation	Phương trình bậc hai
Quadratic utility function	Hàm thoả dụng bậc hai.
Qualitative choice models	Mô hình lựa chọn định tính.
Quantity theory of money	Lý thuyết định lượng về tiền tệ.
Quartile	Tứ phân vị.
Quasi-option value	trước.
Quasi-rent	Tiền thuê giả.
Quesnay, Francois	(1694-1774).
Quick assets ratio	Tỷ lệ tài sản dễ chuyển hoán.
Quits	Số người bỏ việc.
Quota	Hạn nghạch.
Import / Export quota	khẩu.
Quoted companies	Các công ty được niêm yết giá.
Quotient rule	Quy tắc thương số.
R2	Hệ số xác định.
Radcliffe Committee	Uỷ ban Radcliffe.
Radical economics	Kinh tế học cấp tiến.
Raider firm	Hãng thu mua.
Ramsey pricing	Định giá Ramsay.
R and D	Nghiên cứu và triển khai.
Random coefficient models	Các mô hình hệ số ngẫu nhiên.
Random sample	Mẫu ngẫu nhiên.
Random variable	Biến ngẫu nhiên.
Random walk	Bước ngẫu nhiên.
Range	Dải, khoảng.
Range (of a good)	Phạm vi (của một hàng hoá).
Rank correlation	Tương quan bậc.
Ranking of projects	Xếp hạng các dự án.
Rank of a matrix	Hạng của ma trận.
rule	đua
Ratchet effect	Hiệu ứng bánh cóc.
Rate capping	Hạn chế tỷ lệ chi tiêu.
Rate of commodity	Tỷ lệ thay thế hàng hoá.
Rate of interest	Lãi xuất.
Rate of return	Tỷ suất lợi tức.
Rate of time preference	Tỷ lệ ưu tiên thời gian.
Rates	Thuế địa ốc.
Rate support grant	Trợ cấp nâng mức thuế.
Rational expectations	Kỳ vọng duy lý.
Rationality	Tính duy lý.
Rational lags	Trễ hữu tỷ; Trễ hợp lý.
Rationing	Chia khẩu phần.
Rawlsian justice	Bằng đẳng Rawls
R,D and D	diễn.
Reaction functions	Các hàm phản ứng.
Real balance effect	Hiệu ứng số dư tiền.
trade	với thương mại quốc tế.
Real money balances	Các số dư tiền thực tế.
Real national output	Sản lượng quốc dân thực tế.
Real wages	Tiền lương thực tế.
Receiver	Người tiếp nhận (tài sản).
Recession	Suy thoái.
Reciprocal	Số nghịch đảo.
Reciprocal demand	Cầu qua lại.
of 1934 (RTA)	định Thương mại qua lại.
Recognition lag	Trễ trong nhận thức.
Recontract	Tái khế ước.
Recursive model	Mô hình nội phản.
Recursive residuals	Số dư nội phản.
Redeemable loan stock	Cổ phần vay có thể hoàn trả.
Redeemable securities	Chứng khoán có thể hoàn trả.
Redemption yield	Tổng lợi tức đáo hạn.
Redistribution	Tái phân phối.
Reduced form (RF)	Dạng rút gọn.
Redundancies	Nhân viên thừa.
Redundancy payments	Trợ cấp thôi việc.
Re-export	Hàng tái xuất.
Regional development grant	Trợ cấp phát triển vùng.
Regional economics	Kinh tế học khu vực.
Regional emloyment premium	vực.
Regional multiplier	Số nhân khu vực.
Regional policy	Chính sách khu vực.
Regional integration	Hội nhập khu vực.
Regional wage differentials	các khu vực.
Regional wage structure	Cơ cấu tiền lương theo khu vực.
Registered unemployed	ký.
Regressand	hồi quy).
Regression	Hồi quy.
Regressive expectations	Kỳ vọng hồi quy.
Regressive tax	Thuế luỹ thoái.
Regressor	Ước tính hồi quy.
Regret matrix	Ma trận hối tiếc.
Regulation Q	Quy chế Q.
Regulation	Sự điều tiết.
Regulatory capture	bị trói".
Regulatory policy	Chính sách điều tiết.
Reintermediation	Tái phí trung gian.
Relative deprivation	Cảm giác bị tước đoạt.
Relative income hypothesis	Giả thuyết về thu nhập tương đối.
Relative price	Giá tương đối.
Relativities	Chênh lệch lương trong một nghề.
Renewable resource	Tài nguyên tái tạo được.
Rent	Tô, lợi, tiền thuê.
Rent gradient	Gradient tiền thuê.
Rentiers	thuê vốn.
Rent seeking	tiền thuê.
Rent seeker	Người kiếm sự đặc lợi.
Rental on capital	Tiền thuê vốn.
Replacement cost	Chi phí thay thế.
Replacement cost accounting	Hạch toán chi phí thay thế.
Replacement investment	Đầu tư thay thế.
Replacement ratio	Tỷ số thay thế.
Representative firm	Hãng đại diện.
Repressed inflation	Lạm phát bị kiềm chế.
Required reserves	Dự trữ bắt buộc.
Required rate of return on capital	Suất sinh lợi cần có của vốn.
capital	vốn.
Required reserve ratio	Tỷ lệ dự trữ bắt buộc.
Resale price mainternance	Việc duy trì giá bán lẻ.
Resale Prices Act 1964	Đạo luật năm 1964 về Giá bán lẻ.
Reservation wage	vọng tối thiểu.
Reserve assets ratio	Tỷ lệ tài sản dự trữ.
Reserve base	Cơ số dự trữ.
Reserve currency	Đồng tiền dự trữ.
Reserve ratio	Tỷ lệ dự trữ.
Residual	Số dư.
Resiliency	Tính nhạy bén.
Resource	Nguồn lực; Nguồn tài nguyên.
Restricted least squares (RLS)	Bình phương nhỏ nhất hạn chế.
Restrictive Practices Court	Toà án về các hoạt động hạn chế.
1956	Thông lệ thương mại hạn chế.
1968	Thông lệ thương mại hạn chế.
Reswitching	Tái chuyển đổi.
Retail	Bán lẻ.
Retail banking	Nghiệp vụ ngân hàng bán lẻ.
Retail price index (RPI)	Chỉ số giá bán lẻ.
Retained earnings	Thu nhập được giữ lại.
Retention ratio	Tỷ lệ giữ lại.
Retentions	Các khoản giữ lại.
Return on capital employed	Lợi tức từ vốn được sử dụng.
Returns to scale	Lợi tức theo quy mô.
Revaluation	Sự nâng giá trị; sự tăng giá.
Revealed preference	Sở thích được bộc lộ.
Revenue	Doanh thu.
Revenue maximization	Tối đa hoá doanh thu.
Reverse dumping	ngoài.
Reverse yield gap	Chênh lệch nghịch đảo của lợi tức.
Ricardian equivalence theorem	đương .
Ricardo, David	(1772-1823).
Right-to-work laws	Các luật về quyền được làm việc.
Rights issue	Phát hành quyền mua cổ phiếu.
Risk	Rủi ro.
Risk aversion	Sự sợ rủi ro, không thích rủi ro.
Risk capital	Vốn rủi ro.
Risk attitude	Thái độ đối với rủi ro.
Risk character	Thái độ đối với rủi ro.
Risk premium	Tiền bù cho rủi ro, phí rủi ro
Risk-spreading	Dàn trải rủi ro.
Risk-diversification	Phân tán rủi ro.
Risk-loving	Thích rủi ro.
Risk Master	Phần mềm Risk Master
Risk-neutrality	Bàng quan với rủi ro.
Risk-pool	Chung độ rủi ro; Góp chung rủi ro.
Risk-sharing	Chia xẻ rủi ro.
Rival	(trong tiêu dùng).
Robbins, Lionel	(1898-1984).
Robinson, Joan V.	(1903-1983).
Robinson-Patman Act	Đạo luật Robinson-Patman.
Roosa effect	Hiệu ứng Roosa.
Roots	Các nghiệm, căn số.
Rostow model	Mô hình Rostow
Roundaboutness	Phương pháp sản xuất gián tiếp.
Royalty	Thuế tài nguyên.
Royalties	quả làm việc cá nhân).
RPI	Chỉ số giá bán lẻ.
Rule-of-thumb	Quy tắc tự đặt.
Rybczcynski theorem	Định lý Rybczcynski.
regime	giá hối đoái.
Run (a)	(một) cơn sốt rút tiền.
Sackings	Con số sa thải.
St. Louis model	Mô hình St. Louis.
St Petersburg paradox	Nghịch lý St Petersburg.
Salary	Lương
Sales maximization hypothesis	thu.
Sales tax	Thuế bán hàng.
Salvage	Giá trị thanh lý.
Sample	Mẫu.
Sample space	Không gian mẫu.
Samuelson, Paul	(1915-)
Samuelson test	Kiểm định Samuelson.
Satiation	Bão hoà.
Satisficing behaviour	Hành vi thoả mãn.
Savings	Tiết kiệm.
Savings and loan associations	Các hiệp hội tiết kiệm và cho vay.
Savings function	Hàm Tiết kiệm.
the balance of payments	với cán cân thanh toán.
Say, Jean-Baptiste	(1767-1832)
Scarcity	Sự khan hiếm.
Scarce currency	Đồng tiền hiếm.
Scatter	Biểu đồ tán xạ.
Scatter diagram	Đồ thị rải.
Schooling functions	Các hàm giáo dục.
Schultz, Theodore W.	(1902-)
Schumpeter, Joseph A.	(1883-1950)
Scientific tariff	Thuế khoa học.
Scitovsky paradox	Nghịch lý Scitovsky.
Scitovsky reversal criterion	Tiêu chí nghịch đảo Scitovsky.
Screening hypothesis	Giả thiết sàng lọc.
Scrip issue	hiện hành.
SDR	Quyền rút tiền đặc biệt.
Search costs	Chi phí tìm kiếm (việc làm).
Search unemployment	Thất nghiệp do tìm kiếm việc làm.
Seasonal adjustment	Điều chỉnh thời vụ.
Seasonal unemployment	Thất nghiệp thời vụ.
Secondary banks	Các ngân hàng thứ cấp.
Secondary market	Thị trường thứ cấp.
Secondary worker	Công nhân hạng hai.
Second-best	(Tình trạng) tốt nhì.
Second order condition	Điều kiện đạo hàm bậc hai.
Secular supply curve	Đừơng cung lao động trường kỳ.
Secular trend	Xu hướng lâu dài
Secured	Những khoản vay có bảo lãnh.
Securities	Chứng khoán.
Commission (SEC)	Uỷ ban chứng khoán.
(SIB)	Hội đồng chứng khoán và đầu tư.
Securitization	Chứng khoán hoá.
Seignorage	Thuế đúc tiền, phí đúc tiền.
Self-liquidating	Tự thanh toán.
Self-liquidating advances	toán.
(SROs)	Các tổ chức tự điều tiết.
Semi log	Phương pháp bán Lôgarit hoá.
Senior, Nassau W.	(1790-1864)
Seniority practices	Phương pháp thâm niên.
Sensitivity analysis	Phân tích độ nhạy cảm.
Separability of preferences	Tính phân chia của sự ưa thích.
control	quyền kiểm soát.
Serial correlation	Tương quan chuỗi.
Service of debt	Trả lãi suất nợ.
Services	Các dịch vụ.
Severance pay	Bồi thường mất việc.
Shadow economy	Nền kinh tế bóng.
Shadow price	Giá bóng
Shadow wage rate	Mức tiền công bóng.
Share	Cổ phiếu.
Share economy	Kinh tê phân phối.
Share price	Giá cổ phiếu.
Sharpe, William F.	(1934-)
Sherman Act	Đạo luật Sherman.
Shift effect hypothesis	chuyển.
Shift share analysis	chuyển.
Shirking model	tính lẩn tránh.
Shock effect	Hiệu ứng sốc
Shop steward	Đại biểu phân xưởng.
Short-dated securities	Các chứng khoán ngắn hạn.
Short run	Ngắn hạn.
Short run average cost	Chi phí trung bình ngắn hạn.
Short run average fixed cost (AFC)	Định phí bình quân ngắn hạn.
Short run fixed cost (AFC)	Định phí ngắn hạn.
Short run consumption function	Hàm tiêu dùng ngắn hạn.
Short run marginal cost (SMC)	Chi phí biên ngắn hạn.
